Merchantnumber,recency,frequency,monetary_value
62006362005742,5,18,108542008
62006362005745,0,20,1943004
62006362005751,3,8,234152008
62006362005752,0,1678,226445005
62006362005767,0,294,390691004
62006362005781,3,69,46556004
62006362005792,4,7,173501004
62006362005794,3,8,7681004
62006362005804,0,1,1004
62006362005805,14,2,201004
62006362005806,0,198,22841516
62006362005816,0,75,5520504
62006362005819,18,11,1011004
62006362005825,0,500,295575304
62006362005829,8,2,501004
62006362005847,9,7,461004
62006362005848,0,62,5743004
62006362005852,1,119,445601004
62006362005855,25,1,1004
62006362005870,25,1,1004
62006362005871,0,141,36518004
62006362005873,3,30,5288004
62006362005876,0,30,24771004
62006362005877,2,712,220920004
62006362005878,1,28,22389163
62006362005881,2,94,66403030
62006362005886,0,18,22581009
62006362005896,4,48,413601084
62006362005910,1,39,2701004
62006362005911,3,27,5045501004
62006362005921,0,57,4269504
62006362005929,10,4,130000
62006362005933,29,1,1004
62006362005937,7,13,218008
62006362005938,0,295,107721004
62006362005939,0,98,8891012
62006362005970,1,23,52651004
62006362005971,8,6,1316004
62006362005972,0,1168,281230004
62006362005976,0,137,38629004
62006362005979,11,5,501004
62006362005988,3,58,287166704
62006362006004,0,165,111446004
62006362006017,5,121,13878004
62006362006035,0,13,11781004
62006362006040,0,105,46021004
62006362006042,1,16,3262008
62006362006045,0,100,29673004
62006362006056,19,8,190001004
62006362006060,1,40,75671004
62006362006061,1,10,8351004
62006362006063,0,52,12795017
62006362006081,0,38,5464024
62006362006084,0,41,283001004
62006362006091,26,41,25411004
62006362006110,29,1,1004
62006362006111,0,2,2004
62006362006116,0,239,21500504
62006362006118,0,2,2011
62006362006119,3,15,163401004
62006362006132,4,103,45395004
62006362006133,0,37,187032004
62006362006134,1,11,2773004
62006362006135,0,18,93521004
62006362006136,4,37,20366004
62006362006137,2,92,38603004
62006362006149,0,20,156761004
62006362006156,0,29,775811008
62006362006167,1,35,118751004
62006362006172,10,1,1004
62006362006177,5,14,34651004
62006362006178,13,10,15251004
62006362006181,5,240,36284004
62006362006184,4,15,17121130
62006362006187,0,53,74326004
62006362006189,0,86,16721004
62006362006193,3,8,1941004
62006362006196,2,15,161661004
62006362006200,9,18,14490000
62006362006201,0,47,165582004
62006362006207,0,209,128701004
62006362006210,0,1,1004
62006362006216,0,53,13395004
62006362006224,0,234,70792004
62006362006228,3,1,1004
62006362006230,3,9,44411004
62006362006237,1,172,62096294
62006362006238,5,17,4801004
62006362006243,1,1,1004
62006362006247,0,757,246492504
62006362006258,1,94,17861004
62006362006260,0,55,49001004
62006362006262,0,74,59042004
62006362006263,1,9,250431004
